source,target,distance
1,20,1.0
1,26,0.5
1,27,1.0
1,33,0.5
1,38,1.0
1,47,1.0
1,54,1.0
1,74,0.333333333333333
1,76,0.5
2,6,0.5
2,10,0.5
2,28,0.333333333333333
2,36,0.5
2,37,1.0
3,6,1.0
3,41,0.5
3,48,1.0
3,51,0.25
3,67,1.0
3,71,0.333333333333333
3,73,0.5
4,5,1.0
4,11,1.0
5,4,1.0
5,8,1.0
5,9,1.0
5,12,1.0
5,18,1.0
5,29,1.0
5,40,1.0
5,42,0.5
5,59,1.0
5,60,1.0
5,63,0.333333333333333
6,2,0.5
6,3,1.0
6,8,1.0
6,20,1.0
6,22,1.0
6,24,1.0
6,26,1.0
6,27,1.0
6,28,1.0
6,31,1.0
6,38,1.0
6,41,1.0
6,58,0.333333333333333
6,67,0.5
7,8,1.0
7,57,0.5
7,61,0.5
7,68,0.5
8,5,1.0
8,6,1.0
8,7,1.0
8,11,1.0
8,12,1.0
8,15,1.0
8,32,1.0
8,33,1.0
8,34,0.5
8,40,0.5
8,42,1.0
8,46,1.0
8,49,1.0
8,52,1.0
8,65,1.0
8,67,1.0
8,68,0.2
9,5,1.0
9,17,1.0
9,18,1.0
9,38,1.0
9,45,0.5
9,51,1.0
9,58,1.0
9,62,1.0
9,69,1.0
10,2,0.5
10,37,1.0
11,4,1.0
11,8,1.0
11,12,1.0
11,15,1.0
11,23,0.5
11,29,1.0
11,42,1.0
11,57,1.0
11,59,1.0
11,70,1.0
12,5,1.0
12,8,1.0
12,11,1.0
12,34,0.333333333333333
12,43,0.5
12,56,1.0
12,57,0.5
12,68,1.0
12,70,0.5
13,24,0.5
13,55,1.0
13,72,1.0
14,21,0.5
14,38,1.0
14,58,1.0
14,77,0.5
15,8,1.0
15,11,1.0
15,18,1.0
15,23,0.5
15,56,0.5
15,57,1.0
15,70,1.0
16,30,0.333333333333333
16,34,0.333333333333333
17,9,1.0
17,38,1.0
17,44,0.5
18,5,1.0
18,9,1.0
18,15,1.0
19,25,1.0
19,31,1.0
20,1,1.0
20,6,1.0
20,38,0.5
20,67,1.0
21,14,0.5
21,58,1.0
21,77,0.5
22,6,1.0
22,31,1.0
22,39,0.5
22,41,1.0
22,72,0.5
23,11,0.5
23,15,0.5
23,56,1.0
23,70,0.5
24,6,1.0
24,13,0.5
24,55,1.0
24,72,1.0
25,19,1.0
25,49,0.333333333333333
25,67,1.0
26,1,0.5
26,6,1.0
26,27,1.0
26,54,1.0
26,76,1.0
27,1,1.0
27,6,1.0
27,26,1.0
27,28,1.0
27,35,1.0
27,47,0.5
27,54,0.5
27,76,1.0
28,2,0.333333333333333
28,6,1.0
28,27,1.0
28,36,1.0
28,37,0.333333333333333
29,5,1.0
29,11,1.0
29,42,1.0
30,16,0.333333333333333
30,34,0.333333333333333
31,6,1.0
31,19,1.0
31,22,1.0
31,41,1.0
31,67,1.0
32,8,1.0
32,44,1.0
33,1,0.5
33,8,1.0
33,35,1.0
34,8,0.5
34,12,0.333333333333333
34,16,0.333333333333333
34,30,0.333333333333333
34,43,1.0
34,64,0.2
34,67,0.5
35,27,1.0
35,33,1.0
35,54,1.0
35,76,1.0
36,2,0.5
36,28,1.0
37,2,1.0
37,10,1.0
37,28,0.333333333333333
37,38,1.0
37,75,0.5
37,77,0.5
38,1,1.0
38,6,1.0
38,9,1.0
38,14,1.0
38,17,1.0
38,20,0.5
38,37,1.0
38,50,1.0
38,53,1.0
38,58,1.0
38,77,1.0
39,22,0.5
39,53,1.0
39,72,0.5
40,5,1.0
40,8,0.5
40,61,1.0
41,3,0.5
41,6,1.0
41,22,1.0
41,31,1.0
41,45,1.0
41,48,1.0
41,71,0.5
42,5,0.5
42,8,1.0
42,11,1.0
42,29,1.0
42,57,1.0
43,12,0.5
43,34,1.0
43,56,1.0
43,64,1.0
44,17,0.5
44,32,1.0
45,9,0.5
45,41,1.0
45,49,1.0
45,51,0.25
45,58,0.333333333333333
45,62,1.0
46,8,1.0
46,68,1.0
47,1,1.0
47,27,0.5
47,74,1.0
48,3,1.0
48,41,1.0
48,51,1.0
49,8,1.0
49,25,0.333333333333333
49,45,1.0
49,67,1.0
50,38,1.0
50,63,1.0
51,3,0.25
51,9,1.0
51,45,0.25
51,48,1.0
51,58,0.5
51,62,1.0
51,69,0.5
51,71,0.5
52,8,1.0
52,66,1.0
52,68,1.0
53,38,1.0
53,39,1.0
53,55,1.0
54,1,1.0
54,26,1.0
54,27,0.5
54,35,1.0
54,76,1.0
55,13,1.0
55,24,1.0
55,53,1.0
55,72,1.0
56,12,1.0
56,15,0.5
56,23,1.0
56,43,1.0
56,57,1.0
56,70,1.0
57,7,0.5
57,11,1.0
57,12,0.5
57,15,1.0
57,42,1.0
57,56,1.0
58,6,0.333333333333333
58,9,1.0
58,14,1.0
58,21,1.0
58,38,1.0
58,45,0.333333333333333
58,51,0.5
58,62,1.0
58,67,1.0
58,69,1.0
58,77,1.0
59,5,1.0
59,11,1.0
60,5,1.0
60,65,1.0
61,7,0.5
61,40,1.0
61,65,0.5
61,68,0.5
62,9,1.0
62,45,1.0
62,51,1.0
62,58,1.0
63,5,0.333333333333333
63,50,1.0
64,34,0.2
64,43,1.0
65,8,1.0
65,60,1.0
65,61,0.5
66,52,1.0
66,67,0.5
67,3,1.0
67,6,0.5
67,8,1.0
67,20,1.0
67,25,1.0
67,31,1.0
67,34,0.5
67,49,1.0
67,58,1.0
67,66,0.5
67,77,0.5
68,7,0.5
68,8,0.2
68,12,1.0
68,46,1.0
68,52,1.0
68,61,0.5
69,9,1.0
69,51,0.5
69,58,1.0
70,11,1.0
70,12,0.5
70,15,1.0
70,23,0.5
70,56,1.0
71,3,0.333333333333333
71,41,0.5
71,51,0.5
71,73,0.5
72,13,1.0
72,22,0.5
72,24,1.0
72,39,0.5
72,55,1.0
73,3,0.5
73,71,0.5
74,1,0.333333333333333
74,47,1.0
74,76,1.0
75,37,0.5
75,77,0.5
76,1,0.5
76,26,1.0
76,27,1.0
76,35,1.0
76,54,1.0
76,74,1.0
77,14,0.5
77,21,0.5
77,37,0.5
77,38,1.0
77,58,1.0
77,67,0.5
77,75,0.5
