id,pcg,label
1,1.0,1
2,0.25,2
3,1.0,3
4,1.0,4
5,0.75,5
6,1.0,6
7,0.25,7
8,1.0,8
9,0.75,9
10,0.25,10
11,1.0,11
12,0.25,12
13,0.25,13
14,0.75,14
15,0.25,15
16,0.25,16
17,0.25,17
18,0.25,18
19,0.25,19
20,0.25,20
21,0.25,21
22,0.75,22
23,0.5,23
24,0.25,24
25,0.25,25
26,0.25,26
27,0.25,27
28,0.5,28
29,0.25,29
30,0.25,30
31,0.25,31
32,0.25,32
33,0.25,33
34,0.5,34
35,0.25,35
36,0.5,36
37,1.0,37
38,1.0,38
39,0.25,39
40,1.0,40
41,1.0,41
42,0.25,42
43,0.25,43
44,0.25,44
45,0.25,45
46,0.5,46
47,0.25,47
48,0.25,48
49,0.25,49
50,0.25,50
51,1.0,51
52,0.25,52
53,0.25,53
54,0.25,54
55,0.25,55
56,0.25,56
57,0.25,57
58,1.0,58
59,0.25,59
60,0.25,60
61,0.25,61
62,0.25,62
63,0.5,63
64,0.25,64
65,0.25,65
66,1.0,66
67,0.5,67
68,0.75,68
69,0.5,69
70,0.25,70
71,1.0,71
72,0.25,72
73,0.75,73
74,0.5,74
75,1.0,75
76,0.25,76
77,1.0,77
